#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.245587E+00   0.804854E+06   0.800804E+06   0.481048E+00  -0.349878E+00   0.000000E+00   0.804217E+06   0.804217E+06   0.804217E+06  -0.189324E-01   0.417863E+06   0.417810E+06   0.728718E-01
   0.250952E+00   0.784452E+06   0.780686E+06   0.449044E+00  -0.326596E+00   0.000000E+00   0.783860E+06   0.783860E+06   0.783860E+06  -0.184532E-01   0.407286E+06   0.407235E+06   0.674201E-01
   0.256316E+00   0.763804E+06   0.760246E+06   0.419126E+00  -0.304834E+00   0.000000E+00   0.763245E+06   0.763245E+06   0.763245E+06  -0.179679E-01   0.396574E+06   0.396526E+06   0.631580E-01
   0.261681E+00   0.742407E+06   0.738970E+06   0.390856E+00  -0.284272E+00   0.000000E+00   0.741867E+06   0.741867E+06   0.741867E+06  -0.174646E-01   0.385466E+06   0.385419E+06   0.600690E-01
   0.267045E+00   0.720361E+06   0.716970E+06   0.364160E+00  -0.264858E+00   0.000000E+00   0.719828E+06   0.719828E+06   0.719828E+06  -0.169458E-01   0.374015E+06   0.373969E+06   0.579093E-01
   0.272409E+00   0.698140E+06   0.694745E+06   0.339153E+00  -0.246673E+00   0.000000E+00   0.697607E+06   0.697607E+06   0.697607E+06  -0.164227E-01   0.362470E+06   0.362424E+06   0.563039E-01
   0.277774E+00   0.676348E+06   0.672935E+06   0.315987E+00  -0.229826E+00   0.000000E+00   0.675812E+06   0.675812E+06   0.675812E+06  -0.159096E-01   0.351145E+06   0.351100E+06   0.548604E-01
   0.283138E+00   0.655599E+06   0.652184E+06   0.294787E+00  -0.214409E+00   0.000000E+00   0.655063E+06   0.655063E+06   0.655063E+06  -0.154211E-01   0.340364E+06   0.340319E+06   0.532673E-01
   0.288503E+00   0.636406E+06   0.633025E+06   0.275609E+00  -0.200462E+00   0.000000E+00   0.635875E+06   0.635875E+06   0.635875E+06  -0.149694E-01   0.330395E+06   0.330350E+06   0.513526E-01
   0.293867E+00   0.619018E+06   0.615715E+06   0.258379E+00  -0.187930E+00   0.000000E+00   0.618499E+06   0.618499E+06   0.618499E+06  -0.145604E-01   0.321366E+06   0.321323E+06   0.490936E-01
   0.299231E+00   0.603339E+06   0.600152E+06   0.242889E+00  -0.176663E+00   0.000000E+00   0.602838E+06   0.602838E+06   0.602838E+06  -0.141917E-01   0.313229E+06   0.313187E+06   0.465883E-01
   0.304596E+00   0.589021E+06   0.585973E+06   0.228851E+00  -0.166451E+00   0.000000E+00   0.588542E+06   0.588542E+06   0.588542E+06  -0.138551E-01   0.305801E+06   0.305761E+06   0.440071E-01
   0.309960E+00   0.575624E+06   0.572719E+06   0.215978E+00  -0.157086E+00   0.000000E+00   0.575167E+06   0.575167E+06   0.575167E+06  -0.135403E-01   0.298851E+06   0.298813E+06   0.415357E-01
   0.315325E+00   0.562714E+06   0.559939E+06   0.204016E+00  -0.148385E+00   0.000000E+00   0.562278E+06   0.562278E+06   0.562278E+06  -0.132368E-01   0.292154E+06   0.292117E+06   0.393238E-01
   0.320689E+00   0.549930E+06   0.547258E+06   0.192769E+00  -0.140204E+00   0.000000E+00   0.549510E+06   0.549510E+06   0.549510E+06  -0.129363E-01   0.285520E+06   0.285484E+06   0.374522E-01
   0.326053E+00   0.537057E+06   0.534459E+06   0.182114E+00  -0.132454E+00   0.000000E+00   0.536649E+06   0.536649E+06   0.536649E+06  -0.126335E-01   0.278837E+06   0.278802E+06   0.359261E-01
   0.331418E+00   0.524081E+06   0.521529E+06   0.172006E+00  -0.125103E+00   0.000000E+00   0.523680E+06   0.523680E+06   0.523680E+06  -0.123282E-01   0.272099E+06   0.272064E+06   0.346872E-01
   0.336782E+00   0.511150E+06   0.508625E+06   0.162458E+00  -0.118159E+00   0.000000E+00   0.510753E+06   0.510753E+06   0.510753E+06  -0.120239E-01   0.265382E+06   0.265348E+06   0.336388E-01
   0.342146E+00   0.498482E+06   0.495978E+06   0.153500E+00  -0.111645E+00   0.000000E+00   0.498089E+06   0.498089E+06   0.498089E+06  -0.117257E-01   0.258802E+06   0.258768E+06   0.326745E-01
   0.347511E+00   0.486292E+06   0.483811E+06   0.145157E+00  -0.105577E+00   0.000000E+00   0.485903E+06   0.485903E+06   0.485903E+06  -0.114388E-01   0.252470E+06   0.252437E+06   0.317045E-01
   0.352875E+00   0.474749E+06   0.472302E+06   0.137434E+00  -0.999601E-01   0.000000E+00   0.474364E+06   0.474364E+06   0.474364E+06  -0.111672E-01   0.246475E+06   0.246443E+06   0.306737E-01
   0.358240E+00   0.463939E+06   0.461539E+06   0.130312E+00  -0.947802E-01   0.000000E+00   0.463562E+06   0.463562E+06   0.463562E+06  -0.109129E-01   0.240862E+06   0.240831E+06   0.295677E-01
   0.363604E+00   0.453844E+06   0.451506E+06   0.123743E+00  -0.900025E-01   0.000000E+00   0.453477E+06   0.453477E+06   0.453477E+06  -0.106755E-01   0.235622E+06   0.235591E+06   0.284065E-01
   0.368968E+00   0.444359E+06   0.442090E+06   0.117661E+00  -0.855783E-01   0.000000E+00   0.444003E+06   0.444003E+06   0.444003E+06  -0.104525E-01   0.230700E+06   0.230669E+06   0.272325E-01
   0.374333E+00   0.435337E+06   0.433138E+06   0.111993E+00  -0.814556E-01   0.000000E+00   0.434992E+06   0.434992E+06   0.434992E+06  -0.102403E-01   0.226017E+06   0.225988E+06   0.260954E-01
   0.379697E+00   0.426630E+06   0.424498E+06   0.106675E+00  -0.775872E-01   0.000000E+00   0.426295E+06   0.426295E+06   0.426295E+06  -0.100356E-01   0.221498E+06   0.221470E+06   0.250384E-01
