#           k/h    P           
    0.85819E+01    0.33458E+00
    0.87553E+01    0.31774E+00
    0.89322E+01    0.30174E+00
    0.91126E+01    0.28653E+00
    0.92967E+01    0.27208E+00
    0.94845E+01    0.25835E+00
    0.96761E+01    0.24531E+00
    0.98716E+01    0.23292E+00
    0.10071E+02    0.22114E+00
    0.10274E+02    0.20996E+00
    0.10482E+02    0.19933E+00
    0.10694E+02    0.18924E+00
    0.10910E+02    0.17965E+00
    0.11130E+02    0.17054E+00
    0.11355E+02    0.16189E+00
    0.11584E+02    0.15367E+00
    0.11818E+02    0.14586E+00
    0.12057E+02    0.13845E+00
    0.12301E+02    0.13141E+00
    0.12549E+02    0.12473E+00
    0.12803E+02    0.11838E+00
    0.13061E+02    0.11235E+00
    0.13325E+02    0.10662E+00
    0.13594E+02    0.10119E+00
    0.13869E+02    0.96024E-01
    0.14149E+02    0.91123E-01
    0.14435E+02    0.86469E-01
    0.14727E+02    0.82050E-01
    0.15024E+02    0.77855E-01
    0.15328E+02    0.73872E-01
    0.15637E+02    0.70091E-01
    0.15953E+02    0.66502E-01
    0.16275E+02    0.63095E-01
    0.16604E+02    0.59860E-01
    0.16940E+02    0.56790E-01
    0.17282E+02    0.53875E-01
    0.17631E+02    0.51109E-01
    0.17987E+02    0.48483E-01
    0.18351E+02    0.45991E-01
    0.18721E+02    0.43626E-01
    0.19099E+02    0.41382E-01
    0.19485E+02    0.39252E-01
    0.19879E+02    0.37230E-01
    0.20280E+02    0.35312E-01
    0.20690E+02    0.33491E-01
    0.21108E+02    0.31764E-01
    0.21535E+02    0.30125E-01
    0.21970E+02    0.28570E-01
    0.22413E+02    0.27094E-01
    0.22866E+02    0.25694E-01
    0.23328E+02    0.24366E-01
    0.23799E+02    0.23105E-01
    0.24280E+02    0.21909E-01
    0.24771E+02    0.20774E-01
    0.25271E+02    0.19697E-01
    0.25782E+02    0.18676E-01
    0.26302E+02    0.17707E-01
    0.26834E+02    0.16787E-01
    0.27376E+02    0.15915E-01
    0.27929E+02    0.15088E-01
    0.28493E+02    0.14303E-01
    0.29069E+02    0.13559E-01
    0.29656E+02    0.12854E-01
    0.30255E+02    0.12185E-01
    0.30866E+02    0.11551E-01
    0.31490E+02    0.10949E-01
    0.32126E+02    0.10379E-01
