#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.231712E+00   0.703627E+06   0.700001E+06   0.284555E+00  -0.510053E+00   0.000000E+00   0.702974E+06   0.702974E+06   0.702974E+06  -0.156306E-01   0.325121E+06   0.325077E+06   0.629686E-01
   0.236544E+00   0.686186E+06   0.682776E+06   0.266292E+00  -0.477310E+00   0.000000E+00   0.685572E+06   0.685572E+06   0.685572E+06  -0.152436E-01   0.317072E+06   0.317031E+06   0.588749E-01
   0.241376E+00   0.667704E+06   0.664422E+06   0.248852E+00  -0.446049E+00   0.000000E+00   0.667113E+06   0.667113E+06   0.667113E+06  -0.148332E-01   0.308535E+06   0.308495E+06   0.559254E-01
   0.246208E+00   0.648199E+06   0.644966E+06   0.232189E+00  -0.416185E+00   0.000000E+00   0.647617E+06   0.647617E+06   0.647617E+06  -0.143997E-01   0.299519E+06   0.299479E+06   0.539150E-01
   0.251040E+00   0.628146E+06   0.624906E+06   0.216418E+00  -0.387922E+00   0.000000E+00   0.627563E+06   0.627563E+06   0.627563E+06  -0.139538E-01   0.290244E+06   0.290204E+06   0.525028E-01
   0.255872E+00   0.608200E+06   0.604931E+06   0.201695E+00  -0.361540E+00   0.000000E+00   0.607612E+06   0.607612E+06   0.607612E+06  -0.135102E-01   0.281017E+06   0.280978E+06   0.513105E-01
   0.260704E+00   0.589040E+06   0.585752E+06   0.188158E+00  -0.337279E+00   0.000000E+00   0.588448E+06   0.588448E+06   0.588448E+06  -0.130841E-01   0.272154E+06   0.272115E+06   0.500157E-01
   0.265536E+00   0.571275E+06   0.568000E+06   0.175895E+00  -0.315303E+00   0.000000E+00   0.570686E+06   0.570686E+06   0.570686E+06  -0.126891E-01   0.263939E+06   0.263900E+06   0.484169E-01
   0.270368E+00   0.555295E+06   0.552079E+06   0.164916E+00  -0.295623E+00   0.000000E+00   0.554716E+06   0.554716E+06   0.554716E+06  -0.123341E-01   0.256553E+06   0.256515E+06   0.464549E-01
   0.275200E+00   0.541132E+06   0.538017E+06   0.155117E+00  -0.278057E+00   0.000000E+00   0.540571E+06   0.540571E+06   0.540571E+06  -0.120196E-01   0.250011E+06   0.249975E+06   0.441949E-01
